initiator_ip,responder_ip,protocol,duration,total_bytes,total_packets,byte_ratio,packet_ratio
192.168.29.190,140.82.113.25,TCP,2.975835,1308,3,0.9495412844036697,0.6666666666666666
192.168.29.190,20.244.99.23,TCP,0.240146,4458,14,0.7575145805293854,0.5
192.168.29.190,192.168.29.1,TCP,0.065209,873,14,0.5475372279495991,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.06884,1072,14,0.4458955223880597,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.069248,864,14,0.5532407407407407,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.111541,823,13,0.5176184690157959,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.121744,826,13,0.5157384987893463,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.131032,814,13,0.5233415233415234,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.087425,849,13,0.49823321554770317,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.08825,904,13,0.46792035398230086,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.089014,968,13,0.4369834710743802,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.087803,884,13,0.48642533936651583,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.09943,862,13,0.4988399071925754,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.086873,850,13,0.5058823529411764,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.099756,845,13,0.5029585798816568,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.082948,942,13,0.45116772823779194,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.083723,1086,13,0.39134438305709024,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.096632,929,13,0.4790096878363832,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.034068,1002,14,0.49800399201596807,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.112261,900,13,0.49444444444444446,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.092704,925,13,0.4810810810810811,0.5384615384615384
